Designator,Mid X,Mid Y,Rotation,Layer
C1,143.919301,-80.05566,0.0,top
C2,84.2,-70.5,90.0,top
C3,191.108429,-68.9845,270.0,top
D1,162.999096,-81.00868,0.0,top
D10,76.0,-95.20467,180.0,top
D11,82.0,-95.20467,180.0,top
D12,88.0,-95.20467,180.0,top
D13,204.919096,-81.00868,0.0,top
D2,172.063096,-81.00868,0.0,top
D3,181.127096,-81.00868,0.0,top
D4,190.191096,-81.00868,0.0,top
D5,96.0,-95.20467,180.0,top
D6,102.0,-95.20467,180.0,top
D7,108.0,-95.20467,180.0,top
D8,114.0,-95.20467,180.0,top
D9,70.0,-95.20467,180.0,top
J1,59.260893,-61.224893,180.0,bottom
J2,120.220893,-61.224893,180.0,bottom
J3,151.46,-61.224893,180.0,bottom
J4,212.42,-61.224893,180.0,bottom
JP1,144.32,-67.93934,0.0,top
JP4,136.7,-67.93934,0.0,top
JP5,129.08,-67.93934,0.0,top
R1,129.3,-79.0,180.0,top
R10,96.0,-92.20467,180.0,top
R11,102.0,-92.20467,180.0,top
R12,108.0,-92.20467,180.0,top
R13,114.0,-92.20467,180.0,top
R14,70.0,-92.20467,180.0,top
R15,76.0,-92.20467,180.0,top
R16,82.0,-92.20467,180.0,top
R17,88.0,-92.20467,180.0,top
R18,100.235,-69.2,90.0,top
R19,175.282429,-68.9845,90.0,top
R2,129.3,-82.8,180.0,top
R20,204.899096,-77.85868,0.0,top
R3,143.919301,-82.31066,0.0,top
R4,143.919301,-84.53566,0.0,top
R5,143.919301,-86.76066,0.0,top
R6,162.979096,-77.85868,0.0,top
R7,172.043096,-77.85868,0.0,top
R8,181.107096,-77.85868,0.0,top
R9,190.171096,-77.85868,0.0,top
SW1,72.983155,-81.564468,270.0,top
SW2,97.355314,-81.564468,270.0,top
SW3,85.355314,-81.564468,270.0,top
SW4,109.355314,-81.564468,270.0,top
U1,136.619301,-83.43566,0.0,top
U2,87.691,-74.1,90.0,top
U3,187.9,-65.1845,270.0,top
